Schoolid,School Name,r1617,r1718,r1819,KG2.1,E2.1,M2.1,H2.1,KG2.2,E2.2,M2.2,H2.2,KG2.3,E2.3,M2.3,H2.3,KG3.1,E3.1,M3.1,H3.1,KG3.2,E3.2,M3.2,H3.2,KG4.1,E4.1,M4.1,H4.1,KG4.2,E4.2,M4.2,H4.2,KG5.1,E5.1,M5.1,H5.1,KG5.2,E5.2,M5.2,H5.2,P6.1,P6.2,P6.3,P6.4,P6.5
126,New Indian Model School,2,2,2,5,5,5,5,5,5,5,5,5,4,4,5,3,2,3,3,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,2,2
127,New World  School Private,2,2,2,3,3,3,2,4,4,4,4,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,1,1,1,3,2,2,2,3,2,2,2,2,2,2,2,2
128,Next Generation School,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Nord Anglia International School,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5
130,North American International School,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3
131,Oaktree Primary School,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Our Own High School,3,3,3,,5,5,5,,5,5,5,,5,5,5,,3,3,4,,3,3,3,,4,4,4,,3,3,4,,5,5,5,,4,4,4,4,3,4,3,3
133,Oxford School,2,2,2,3,3,3,4,3,3,3,4,3,3,3,4,2,2,2,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,2,3,3,2,3,3,2
134,Pakistan Educational Academy,2,2,1,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,3,1,1,1,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,1,2,1,1
135,Philadelphia Private School,2,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,2,2,2,4,4,4,4,3,2,2,3,3,2,3,2,2
140,Primus Private School LLC,3,3,3,5,5,5,5,4,3,3,4,3,4,4,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,3,3,4,4,4
136,Pristine Private School,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,5,4,3,3,5,4,3,4,5,3,3,3,5,5,5,5,4,3,3,4,4,4,4,3,3
137,Queen International School,3,3,2,3,4,4,4,5,4,4,4,3,3,3,3,2,2,2,3,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2
138,Raffles International School -Um Suqeim South BR,3,3,4,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,4,5
139,Raffles World Academy,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5
141,Ranches Primary School,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Regent International Private School,3,3,4,5,5,5,0,4,3,3,0,5,4,4,0,5,4,4,0,5,4,4,0,5,5,5,0,5,4,4,0,5,5,5,0,5,5,5,0,4,4,4,3,4
143,Repton School,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
144,Russian International School,3,3,3,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,4,4,2,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3
145,Sabari Indian School LLC,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,4,4,4,4,3,2,2,2,2,2,3,3,3
19,Safa British School,3,3,3,5,5,,,3,3,,,5,5,,,3,3,,,4,4,,,3,3,,,3,3,,,5,5,,,4,4,,,4,3,5,4,4
146,Safa Community School,3,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,4,5
